Country,Year,Inflation_Rate
Austria,2005,2.29913785639285
Austria,2006,1.4415485111902
Austria,2007,2.16855528800749
Austria,2008,3.21595033239886
Austria,2009,0.506308827696515
Austria,2010,1.81353438995062
Austria,2011,3.2865791487538
Austria,2012,2.48567562177015
Austria,2013,2.00015616900597
Austria,2014,1.60581182954474
Austria,2015,0.89656333526032
Austria,2016,0.891591752655362
Austria,2017,2.08126911385587
Austria,2018,1.9983798142954
Austria,2019,1.53089564152644
Austria,2020,1.38191063351862
Austria,2021,2.7666666666667
Austria,2022,8.5468699318845
Austria,2023,7.81413417002832
Belgium,2005,2.78143263670022
Belgium,2006,1.7912077007046
Belgium,2007,1.82305630026808
Belgium,2008,4.48944420508401
Belgium,2009,-0.0531456741253769
Belgium,2010,2.18929920422457
Belgium,2011,3.53208210722742
Belgium,2012,2.83966343445899
Belgium,2013,1.1130959402754
Belgium,2014,0.340002833356922
Belgium,2015,0.561429152790065
Belgium,2016,1.97385264653181
Belgium,2017,2.12597086002607
Belgium,2018,2.05316499865186
Belgium,2019,1.43681956996429
Belgium,2020,0.740791812220344
Belgium,2021,2.44024851144084
Belgium,2022,9.597511728725
Belgium,2023,4.04901077613941
Bulgaria,2005,5.03883807111902
Bulgaria,2006,7.26159462769944
Bulgaria,2007,8.40253419005901
Bulgaria,2008,12.3487195994021
Bulgaria,2009,2.75320223914816
Bulgaria,2010,2.43899060504113
Bulgaria,2011,4.21990346601873
Bulgaria,2012,2.95456829831022
Bulgaria,2013,0.890093540913002
Bulgaria,2014,-1.4181838026484
Bulgaria,2015,-0.104633261008385
Bulgaria,2016,-0.79864988645371
Bulgaria,2017,2.06159619443141
Bulgaria,2018,2.81454473824829
Bulgaria,2019,3.10372944796781
Bulgaria,2020,1.67244096855756
Bulgaria,2021,3.29774435299515
Bulgaria,2022,15.3252589264366
Bulgaria,2023,9.44284140088564
Switzerland,2005,1.17195420333703
Switzerland,2006,1.05950928324802
Switzerland,2007,0.732350603122248
Switzerland,2008,2.42604117060158
Switzerland,2009,-0.480481936423275
Switzerland,2010,0.688238707220026
Switzerland,2011,0.2313492076509
Switzerland,2012,-0.692552018105253
Switzerland,2013,-0.217323155115693
Switzerland,2014,-0.0132025387514939
Switzerland,2015,-1.14390867228183
Switzerland,2016,-0.434618664285835
Switzerland,2017,0.533787839825897
Switzerland,2018,0.936335464113563
Switzerland,2019,0.362886179940614
Switzerland,2020,-0.725874933313384
Switzerland,2021,0.581814168489856
Switzerland,2022,2.83502798644463
Switzerland,2023,2.13540088016377
Cyprus,2005,2.56016132330234
Cyprus,2006,2.30468732978555
Cyprus,2007,2.37265183669719
Cyprus,2008,4.66900841902485
Cyprus,2009,0.326276652249794
Cyprus,2010,2.43004084102254
Cyprus,2011,3.28944939564211
Cyprus,2012,2.38905410042317
Cyprus,2013,-0.399357676464426
Cyprus,2014,-1.35498885446315
Cyprus,2015,-2.0969976905311
Cyprus,2016,-1.42916666666665
Cyprus,2017,0.531766496174467
Cyprus,2018,1.43549119531759
Cyprus,2019,0.250370996758493
Cyprus,2020,-0.638422797978959
Cyprus,2021,2.44608867175474
Cyprus,2022,8.39548297993334
Cyprus,2023,3.54134188751663
Czechia,2005,1.8570978910922
Czechia,2006,2.53399258343635
Czechia,2007,2.85312437211175
Czechia,2008,6.35866380152373
Czechia,2009,1.01937735329232
Czechia,2010,1.47272727272722
Czechia,2011,1.9172191363555
Czechia,2012,3.28762306610411
Czechia,2013,1.4382978723404
Czechia,2014,0.343988589646794
Czechia,2015,0.309364548494975
Czechia,2016,0.683504209385703
Czechia,2017,2.4505339846014
Czechia,2018,2.14949494949493
Czechia,2019,2.8478759591805
Czechia,2020,3.16129528497801
Czechia,2021,3.83984491500146
Czechia,2022,15.1001651468371
Czechia,2023,10.6612601372426
Germany,2005,1.54691114751328
Germany,2006,1.57742642840563
Germany,2007,2.29834400700951
Germany,2008,2.62837981637219
Germany,2009,0.312739007368447
Germany,2010,1.1038103778926
Germany,2011,2.07517283735874
Germany,2012,2.00848884782956
Germany,2013,1.50472330251876
Germany,2014,0.906794000434246
Germany,2015,0.514426137125456
Germany,2016,0.491747008445174
Germany,2017,1.50949485109628
Germany,2018,1.73216879766942
Germany,2019,1.44565976888253
Germany,2020,0.144877925813982
Germany,2021,3.06666666666673
Germany,2022,6.87257438551097
Germany,2023,5.94643667725823
Denmark,2005,1.81781458291254
Denmark,2006,1.92422138464594
Denmark,2007,1.69326586220315
Denmark,2008,3.41626794258373
Denmark,2009,1.30470991024337
Denmark,2010,2.31092436974789
Denmark,2011,2.7586822605125
Denmark,2012,2.3979148566464
Denmark,2013,0.789071780078062
Denmark,2014,0.56402054044954
Denmark,2015,0.452034153691575
Denmark,2016,0.250000000000031
Denmark,2017,1.14713216957602
Denmark,2018,0.813609467455631
Denmark,2019,0.75813157251162
Denmark,2020,0.420711974110115
Denmark,2021,1.8530454398968
Denmark,2022,7.6965669988926
Denmark,2023,3.30517811237606
Spain,2005,3.36881409750383
Spain,2006,3.51557576832128
Spain,2007,2.78679745804946
Spain,2008,4.07534335957339
Spain,2009,-0.28781308353524
Spain,2010,1.79986457728769
Spain,2011,3.1961018883379
Spain,2012,2.44612782366809
Spain,2013,1.40858109183019
Spain,2014,-0.151114837527235
Spain,2015,-0.500365709903242
Spain,2016,-0.202598000426452
Spain,2017,1.95607633363963
Spain,2018,1.6749813686379
Spain,2019,0.699518994458739
Spain,2020,-0.322753017299739
Spain,2021,3.0931351197642
Spain,2022,8.39057634118627
Spain,2023,3.53236133492433
Estonia,2005,4.07971423199849
Estonia,2006,4.43762042389213
Estonia,2007,6.60132603055637
Estonia,2008,10.3623580313683
Estonia,2009,-0.0784083112809768
Estonia,2010,2.97204512015694
Estonia,2011,4.9819013145361
Estonia,2012,3.93339987296985
Estonia,2013,2.78056658954988
Estonia,2014,-0.10617514652171
Estonia,2015,-0.49232600654737
Estonia,2016,0.148684907627373
Estonia,2017,3.41723549488054
Estonia,2018,3.43632688420446
Estonia,2019,2.27725931243522
Estonia,2020,-0.44453109767983
Estonia,2021,4.65316673847473
Estonia,2022,19.3982634080616
Estonia,2023,9.15922507983982
Finland,2005,0.623874450025191
Finland,2006,1.56666380704386
Finland,2007,2.5106656524034
Finland,2008,4.06595355358379
Finland,2009,-9.17360384430342e-7
Finland,2010,1.18413523154646
Finland,2011,3.41680754255211
Finland,2012,2.80833622561574
Finland,2013,1.4782861568881
Finland,2014,1.04119621178439
Finland,2015,-0.207928839905268
Finland,2016,0.356684500891695
Finland,2017,0.754015047084346
Finland,2018,1.08382098409305
Finland,2019,1.02409392963431
Finland,2020,0.290554555653239
Finland,2021,2.19457432340007
Finland,2022,7.12350773301402
Finland,2023,6.25064322154763
France,2005,1.74586936380482
France,2006,1.67512449608723
France,2007,1.4879980595386
France,2008,2.81286194914787
France,2009,0.0876204781574552
France,2010,1.53112270420926
France,2011,2.11159795174994
France,2012,1.9541953161351
France,2013,0.863715497861805
France,2014,0.50775882293799
France,2015,0.0375143805125182
France,2016,0.18333486112386
France,2017,1.03228275064662
France,2018,1.85081508315502
France,2019,1.10825492288294
France,2020,0.476498852725066
France,2021,1.64233141038385
France,2022,5.22236748369735
France,2023,4.87835726508441
United Kingdom,2005,2.0891364902507
United Kingdom,2006,2.4556616643929
United Kingdom,2007,2.38656150773327
United Kingdom,2008,3.52140856342539
United Kingdom,2009,1.96173173560109
United Kingdom,2010,2.49265472467065
United Kingdom,2011,3.8561124468282
United Kingdom,2012,2.5732347965453
United Kingdom,2013,2.29166666666659
United Kingdom,2014,1.45112016293279
United Kingdom,2015,0.36804684232536
United Kingdom,2016,1.0084173681141
United Kingdom,2017,2.55775577557747
United Kingdom,2018,2.29283990345938
United Kingdom,2019,1.73810460086513
United Kingdom,2020,0.989486703772491
United Kingdom,2021,2.51837109614213
United Kingdom,2022,7.92204883147902
United Kingdom,2023,6.79396706793963
Croatia,2005,3.31717824448045
Croatia,2006,3.18982591472949
Croatia,2007,2.89928275583388
Croatia,2008,6.07696838798354
Croatia,2009,2.37852845904674
Croatia,2010,1.03055505333574
Croatia,2011,2.2727272727273
Croatia,2012,3.41207349081358
Croatia,2013,2.21658206429779
Croatia,2014,-0.215196159576268
Croatia,2015,-0.464499004644911
Croatia,2016,-1.12500000000002
Croatia,2017,1.12937210282347
Croatia,2018,1.50012501041756
Croatia,2019,0.771820346498019
Croatia,2020,0.154811374562106
Croatia,2021,2.55450699642041
Croatia,2022,10.7805806758686
Croatia,2023,7.9412817758683
Hungary,2005,3.56151711378352
Hungary,2006,3.93032603841001
Hungary,2007,7.9587451654491
Hungary,2008,6.0425125388106
Hungary,2009,4.21171171171171
Hungary,2010,4.85555795691956
Hungary,2011,3.9299209893507
Hungary,2012,5.65214517088646
Hungary,2013,1.73319984983101
Hungary,2014,-0.227566270988219
Hungary,2015,-0.0616446800641672
Hungary,2016,0.394769306686392
Hungary,2017,2.34824281150154
Hungary,2018,2.85024792594646
Hungary,2019,3.33858635382008
Hungary,2020,3.32674385766738
Hungary,2021,5.11096534382855
Hungary,2022,14.6081439492433
Hungary,2023,17.1249659678737
Ireland,2005,2.45654692931639
Ireland,2006,3.93576114001354
Ireland,2007,4.88574537540802
Ireland,2008,4.03568834941391
Ireland,2009,-4.44754686876746
Ireland,2010,-0.918388645376774
Ireland,2011,2.5489783020855
Ireland,2012,1.69474116680366
Ireland,2013,0.515099484900573
Ireland,2014,0.190916398713745
Ireland,2015,-0.330959783371788
Ireland,2016,0.0201247735963237
Ireland,2017,0.362173038229378
Ireland,2018,0.471130713712916
Ireland,2019,0.937842961189274
Ireland,2020,-0.326183651280033
Ireland,2021,2.34034113447044
Ireland,2022,7.82945736434105
Ireland,2023,6.29942487419125
Iceland,2005,3.98704782806593
Iceland,2006,6.68707906136661
Iceland,2007,5.05155736492146
Iceland,2008,12.6943942775878
Iceland,2009,12.0031298461743
Iceland,2010,5.39673113167477
Iceland,2011,4.0010266434312
Iceland,2012,5.18589988750698
Iceland,2013,3.87227923748249
Iceland,2014,2.04461481539333
Iceland,2015,1.63305558181326
Iceland,2016,1.69692761997751
Iceland,2017,1.76041559180596
Iceland,2018,2.68291768267392
Iceland,2019,3.01397179156053
Iceland,2020,2.84792401518665
Iceland,2021,4.44423970189739
Iceland,2022,8.3087551155892
Iceland,2023,8.73630299937298
Italy,2005,1.9852929852798
Italy,2006,2.09084391012754
Italy,2007,1.82974112202403
Italy,2008,3.34783258401022
Italy,2009,0.774768131387381
Italy,2010,1.52551602118248
Italy,2011,2.78063272879323
Italy,2012,3.04136333226775
Italy,2013,1.21999342274306
Italy,2014,0.241047429826756
Italy,2015,0.0387903996579733
Italy,2016,-0.09401665691575
Italy,2017,1.22653316645812
Italy,2018,1.13748763600391
Italy,2019,0.611246943765304
Italy,2020,-0.13770757391651
Italy,2021,1.87378325762481
Italy,2022,8.20128991161718
Italy,2023,5.62219442195901
Lithuania,2005,2.65848484065262
Lithuania,2006,3.73912004060664
Lithuania,2007,5.73717382799842
Lithuania,2008,10.9258856241655
Lithuania,2009,4.45304456518535
Lithuania,2010,1.31921362055463
Lithuania,2011,4.13027562645085
