Country,Year,GDP_Growth_Rate
Austria,2005,2.3203652667973103
Austria,2006,3.2693361060239283
Austria,2007,3.775224616212242
Austria,2008,1.453305597526807
Austria,2009,-3.586264779313126
Austria,2010,1.808982669608497
Austria,2011,2.9274679078969257
Austria,2012,0.6282461794139493
Austria,2013,-0.2507265459267387
Austria,2014,0.7557990768927993
Austria,2015,1.3035230979888865
Austria,2016,2.1172196709610773
Austria,2017,2.2722501203745935
Austria,2018,2.4842208668992782
Austria,2019,1.7549764558532956
Austria,2020,-6.318255286702083
Austria,2021,4.795329105514583
Austria,2022,5.277894212037154
Austria,2023,-0.9549623668492586
Belgium,2005,2.3217379643264167
Belgium,2006,2.5523406784896423
Belgium,2007,3.676924838925231
Belgium,2008,0.44690494771752753
Belgium,2009,-1.9064408937582584
Belgium,2010,2.7103114134645807
Belgium,2011,1.9311549785905129
Belgium,2012,0.21580367322044935
Belgium,2013,0.3054944785623803
Belgium,2014,1.7655403820308777
Belgium,2015,1.4741643858801297
Belgium,2016,1.193502639951106
Belgium,2017,1.4744676565309192
Belgium,2018,1.8779685721940211
Belgium,2019,2.442890066486086
Belgium,2020,-4.792983897262644
Belgium,2021,6.202554015860812
Belgium,2022,4.2334318336916965
Belgium,2023,1.2517006320359485
Bulgaria,2005,7.056349211816965
Bulgaria,2006,6.802588987458421
Bulgaria,2007,6.654387649002189
Bulgaria,2008,6.129558799011818
Bulgaria,2009,-3.347141367042056
Bulgaria,2010,1.5553596346203165
Bulgaria,2011,2.0901752701553846
Bulgaria,2012,0.7488148967965742
Bulgaria,2013,-0.5427516030301547
Bulgaria,2014,0.9494489850904841
Bulgaria,2015,3.3975532586942165
Bulgaria,2016,3.026628931389183
Bulgaria,2017,2.7459264470779345
Bulgaria,2018,2.5494643471817966
Bulgaria,2019,3.788850364780032
Bulgaria,2020,-3.215737434450162
Bulgaria,2021,7.780614814069779
Bulgaria,2022,4.03877758301681
Bulgaria,2023,1.886814839071775
Switzerland,2005,2.749698984984846
Switzerland,2006,4.0736284499427455
Switzerland,2007,3.916375817781798
Switzerland,2008,2.8079836316869233
Switzerland,2009,-2.297374630715453
Switzerland,2010,3.243397335501726
Switzerland,2011,1.8131081920369496
Switzerland,2012,1.1792538332510816
Switzerland,2013,1.792144057074836
Switzerland,2014,2.349881275086261
Switzerland,2015,1.6446276869928482
Switzerland,2016,2.068689667099605
Switzerland,2017,1.3627995571141582
Switzerland,2018,2.860445794616325
Switzerland,2019,1.1419823250527656
Switzerland,2020,-2.1417372065005367
Switzerland,2021,5.391888041414731
Switzerland,2022,2.5683281783406926
Switzerland,2023,0.7160668686958331
Cyprus,2005,4.853003838356656
Cyprus,2006,4.7138286656310555
Cyprus,2007,5.098068452611841
Cyprus,2008,3.6468119905756
Cyprus,2009,-2.0152623590686716
Cyprus,2010,2.2835449970291677
Cyprus,2011,0.416712762832276
Cyprus,2012,-3.447381423936193
Cyprus,2013,-6.587476957000732
Cyprus,2014,-1.7760618111108926
Cyprus,2015,3.4189229903339253
Cyprus,2016,6.573591005131135
Cyprus,2017,5.750832460144167
Cyprus,2018,6.271667304384266
Cyprus,2019,5.8755912300326685
Cyprus,2020,-3.220634335750475
Cyprus,2021,11.38776335519998
Cyprus,2022,7.3656225242867635
Cyprus,2023,2.611900909147451
Czechia,2005,6.375028858316554
Czechia,2006,6.623172984539494
Czechia,2007,5.488825961139952
Czechia,2008,2.6122680524294424
Czechia,2009,-4.798324168327937
Czechia,2010,2.714665115018505
Czechia,2011,1.77238083691023
Czechia,2012,-0.7706681764955192
Czechia,2013,-0.0418124078092319
Czechia,2014,2.245212186064876
Czechia,2015,4.95875849031782
Czechia,2016,2.5808701467578317
Czechia,2017,5.17356528805017
Czechia,2018,2.8303058941211248
Czechia,2019,3.565776572048435
Czechia,2020,-5.30487954551279
Czechia,2021,4.029018306338543
Czechia,2022,2.847170657171489
Czechia,2023,-0.08533027592737596
Germany,2005,0.8856972362646189
Germany,2006,3.8557361522142912
Germany,2007,2.8901071896247856
Germany,2008,0.9104031961453529
Germany,2009,-5.545164537717056
Germany,2010,4.146767545324366
Germany,2011,3.757968865863475
Germany,2012,0.47429130585554446
Germany,2013,0.386224576109953
Germany,2014,2.1694989287907873
Germany,2015,1.652719771746277
Germany,2016,2.2947106768428114
Germany,2017,2.7160245193159227
Germany,2018,1.1164431092622493
Germany,2019,0.9878933491675781
Germany,2020,-4.095137490646891
Germany,2021,3.669999861567348
Germany,2022,1.3697310553658468
Germany,2023,-0.2664384100909132
Denmark,2005,2.359608832737223
Denmark,2006,3.816487697235033
Denmark,2007,0.9871737884371612
Denmark,2008,-0.41717842951331363
Denmark,2009,-4.974479074740003
Denmark,2010,1.5828970207819566
Denmark,2011,1.3108037793961387
Denmark,2012,-0.005432318693266325
Denmark,2013,1.3926734701729515
Denmark,2014,1.277999793806444
Denmark,2015,2.1044145871258735
Denmark,2016,3.0730454747985476
Denmark,2017,3.056477243935163
Denmark,2018,1.8600074888522613
Denmark,2019,1.7114009439059004
Denmark,2020,-1.7801059882174997
Denmark,2021,7.382066289775551
Denmark,2022,1.5401731070956686
Denmark,2023,2.495184331488943
Spain,2005,3.5512255153724084
Spain,2006,4.043435207208574
Spain,2007,3.533500121911487
